epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,1712.79,0.41431,0.24667,0.8548,0.98573,0.99337,0.99307,0.91841,0.45655,0.20459,0.86256,0.00220369,0.000734564,0.00220369,0.000734564,0.00220369,0.000734564,0.00220369,0.000734564
115,1727.85,0.40878,0.24037,0.85769,0.98946,0.99337,0.98973,0.90972,0.46556,0.207,0.86873,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
116,1742.46,0.40902,0.2423,0.85138,0.99005,0.9902,0.99306,0.91551,0.45447,0.20634,0.86555,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806
117,1757.25,0.40226,0.24097,0.85433,0.99212,0.99157,0.99308,0.91677,0.45127,0.20013,0.86184,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
118,1771.89,0.40326,0.24021,0.85262,0.99265,0.9956,0.99215,0.91931,0.4505,0.19856,0.86283,0.00210467,0.000701557,0.00210467,0.000701557,0.00210467,0.000701557,0.00210467,0.000701557
119,1786.68,0.40478,0.23619,0.85638,0.99169,0.9902,0.99346,0.91776,0.44721,0.19811,0.86475,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
120,1801.57,0.40079,0.23731,0.85484,0.99528,0.99224,0.99405,0.91901,0.44407,0.1939,0.86439,0.00205516,0.000685054,0.00205516,0.000685054,0.00205516,0.000685054,0.00205516,0.000685054
121,1816.35,0.41547,0.24428,0.85574,0.98988,0.99244,0.99271,0.91554,0.43956,0.1991,0.86233,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
122,1831.11,0.39996,0.24083,0.85294,0.98954,0.99318,0.99287,0.91953,0.44537,0.2003,0.8652,0.00200565,0.00066855,0.00200565,0.00066855,0.00200565,0.00066855,0.00200565,0.00066855
123,1846.37,0.40366,0.2383,0.85973,0.99474,0.99253,0.99325,0.90998,0.44139,0.1961,0.86327,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
124,1861.16,0.39986,0.24011,0.85219,0.98967,0.99011,0.99068,0.91072,0.44668,0.20123,0.867,0.00195614,0.000652047,0.00195614,0.000652047,0.00195614,0.000652047,0.00195614,0.000652047
125,1875.6,0.40834,0.23893,0.85812,0.99676,0.98668,0.99298,0.91853,0.44114,0.19553,0.86272,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
